SUW;Parameter;January mean;January sd;January rel sd;February mean;February sd;February rel sd;March mean;March sd;March rel sd;April mean;April sd;April rel sd;May mean;May sd;May rel sd;June mean;June sd;June rel sd;July mean;July sd;July rel sd;August mean;August sd;August rel sd;September mean;September sd;September rel sd;October mean;October sd;October rel sd;November mean;November sd;November rel sd;December mean;December sd;December rel sd
Berlin-Spandauer-Schifffahrtskanal;ROWvol, CSO [m3/month];7286.301164;1020.082163;0.14;5140.168353;719.6235694;0.14;5705.66314;798.7928396;0.14;4118.770568;576.6278796;0.14;5144.082861;720.1716006;0.14;10743.20204;1504.048286;0.14;10447.23054;1462.612276;0.14;6617.209131;926.4092783;0.14;5117.750209;716.4850293;0.14;7502.66803;1050.373524;0.14;6073.959152;850.3542813;0.14;7059.04301;988.2660214;0.14
Berlin-Spandauer-Schifffahrtskanal;ROWvol, WWTP [m3/month];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charlottenburger Verbindungskanal;ROWvol, CSO [m3/month];134.3849919;18.81389886;0.14;94.80276298;13.27238682;0.14;105.2324736;14.7325463;0.14;75.96459943;10.63504392;0.14;94.87496026;13.28249444;0.14;198.1423889;27.73993444;0.14;192.6836346;26.97570885;0.14;122.0445841;17.08624177;0.14;94.38929365;13.21450111;0.14;138.375557;19.37257798;0.14;112.0251459;15.68352043;0.14;130.1935531;18.22709743;0.14
Charlottenburger Verbindungskanal;ROWvol, WWTP [m3/month];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Landwehrkanal;ROWvol, CSO [m3/month];11442.00935;1601.881309;0.14;8071.839611;1130.057546;0.14;8959.861735;1254.380643;0.14;6467.892322;905.5049251;0.14;8077.986741;1130.918144;0.14;16870.53766;2361.875272;0.14;16405.76018;2296.806426;0.14;10391.30377;1454.782528;0.14;8036.635383;1125.128954;0.14;11781.78006;1649.449208;0.14;9538.213675;1335.349915;0.14;11085.13556;1551.918978;0.14
Landwehrkanal;ROWvol, WWTP [m3/month];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Neuenhagener Muehlenflieá (Erpe);ROWvol, CSO [m3/month];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Neuenhagener Muehlenflieá (Erpe);ROWvol, WWTP [m3/month];1154846.157;57742.30786;0.05;1084821.09;54241.05451;0.05;1170179.144;58508.95719;0.05;1118721.059;55936.05296;0.05;1149512.275;57475.61376;0.05;1164344.18;58217.20902;0.05;1149295.05;57464.75251;0.05;1131681.403;56584.07014;0.05;1091460.312;54573.01558;0.05;1127462.573;56373.12863;0.05;1121743.407;56087.17033;0.05;1172160;58607.99999;0.05
Neukoellner Schifffahrtskanal;ROWvol, CSO [m3/month];3369.220296;471.6908415;0.14;2376.838282;332.7573595;0.14;2638.32576;369.3656063;0.14;1904.539091;266.6354727;0.14;2378.648369;333.0107717;0.14;4967.707694;695.4790772;0.14;4830.849067;676.3188693;0.14;3059.828959;428.3760543;0.14;2366.472026;331.3060836;0.14;3469.269363;485.6977109;0.14;2808.627586;393.2078621;0.14;3264.135045;456.9789064;0.14
Neukoellner Schifffahrtskanal;ROWvol, WWTP [m3/month];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nordgraben;ROWvol, CSO [m3/month];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nordgraben;ROWvol, WWTP [m3/month];3148415.521;157420.7761;0.05;2812753.266;140637.6633;0.05;3074392.674;153719.6337;0.05;2899759.808;144987.9904;0.05;3011158.172;150557.9086;0.05;3008742.532;150437.1266;0.05;3102192.552;155109.6276;0.05;2991759.208;149587.9604;0.05;2915078.318;145753.9159;0.05;3119391.364;155969.5682;0.05;3019618.126;150980.9063;0.05;3174965.784;158748.2892;0.05
Panke;ROWvol, CSO [m3/month];4602.706851;644.3789591;0.14;3247.009362;454.5813106;0.14;3604.228569;504.5919997;0.14;2601.799333;364.2519067;0.14;3249.48213;454.9274982;0.14;6786.407604;950.0970646;0.14;6599.444423;923.9222193;0.14;4180.045968;585.2064355;0.14;3232.847973;452.5987162;0.14;4739.384327;663.5138058;0.14;3836.878653;537.1630115;0.14;4459.149422;624.280919;0.14
