SUW;Parameter;January mean;January sd;January rel sd;February mean;February sd;February rel sd;March mean;March sd;March rel sd;April mean;April sd;April rel sd;May mean;May sd;May rel sd;June mean;June sd;June rel sd;July mean;July sd;July rel sd;August mean;August sd;August rel sd;September mean;September sd;September rel sd;October mean;October sd;October rel sd;November mean;November sd;November rel sd;December mean;December sd;December rel sd
Panke;ROWvol, WWTP [m3/month];97373.67592;4868.683796;0.05;86992.36906;4349.618453;0.05;95084.3095;4754.215475;0.05;89683.29304;4484.164652;0.05;93128.60326;4656.430163;0.05;93053.89275;4652.694638;0.05;95944.09954;4797.204977;0.05;92528.63531;4626.431765;0.05;90157.06138;4507.853069;0.05;96476.02156;4823.801078;0.05;93390.25131;4669.512565;0.05;98194.81806;4909.740903;0.05
Stadtspree;ROWvol, CSO [m3/month];20104.33896;2814.607455;0.14;14182.73615;1985.583061;0.14;15743.04756;2204.026659;0.14;11364.49863;1591.029809;0.14;14193.53705;1987.095186;0.14;29642.60885;4149.965239;0.14;28825.96523;4035.635133;0.14;18258.18236;2556.14553;0.14;14120.88008;1976.923211;0.14;20701.33773;2898.187282;0.14;16759.24874;2346.294824;0.14;19477.28899;2726.820458;0.14
Stadtspree;ROWvol, WWTP [m3/month];4456824.652;222841.2326;0.05;3975698.577;198784.9288;0.05;4385975.58;219298.779;0.05;2269442.112;113472.1056;0.05;2345090.182;117254.5091;0.05;2269442.112;113472.1056;0.05;2345090.182;117254.5091;0.05;2345090.182;117254.5091;0.05;2269442.112;113472.1056;0.05;4360643.058;218032.1529;0.05;4237274.429;211863.7215;0.05;4407814.095;220390.7047;0.05
Teltowkanal;ROWvol, CSO [m3/month];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Teltowkanal;ROWvol, WWTP [m3/month];3932933.7;196646.685;0.05;3525511.581;176275.5791;0.05;3915235.046;195761.7523;0.05;5428373.563;271418.6782;0.05;5667139.863;283356.9932;0.05;5907768.549;295388.4274;0.05;5941083.38;297054.169;0.05;5617845.729;280892.2865;0.05;5428099.164;271404.9582;0.05;3849194.004;192459.7002;0.05;3783539.31;189176.9655;0.05;3942547.829;197127.3915;0.05
Teltowkanal, Rudower Arm;ROWvol, CSO [m3/month];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Teltowkanal, Rudower Arm;ROWvol, WWTP [m3/month];4876501.647;243825.0823;0.05;4405080.314;220254.0157;0.05;4890240.731;244512.0366;0.05;4589972.84;229498.642;0.05;4789053.803;239452.6902;0.05;4689723.198;234486.1599;0.05;4708080.196;235404.0098;0.05;4601278.66;230063.933;0.05;4430934.734;221546.7367;0.05;4784017.568;239200.8784;0.05;4634783.76;231739.188;0.05;4849086.96;242454.348;0.05
Unterhavel;ROWvol, CSO [m3/month];571.8801575;80.06322206;0.14;403.4365615;56.4811186;0.14;447.8205693;62.6948797;0.14;323.2700802;45.25781122;0.14;403.7437996;56.52413194;0.14;843.2020495;118.0482869;0.14;819.9721248;114.7960975;0.14;519.3651093;72.7111153;0.14;401.6770279;56.2347839;0.14;588.8621508;82.44070111;0.14;476.7270304;66.74178425;0.14;554.0433394;77.56606751;0.14
Unterhavel;ROWvol, WWTP [m3/month];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Westhafenkanal;ROWvol, CSO [m3/month];1943.831395;272.1363953;0.14;1371.288449;191.9803828;0.14;1522.150525;213.1010735;0.14;1098.801073;153.8321503;0.14;1372.332757;192.126586;0.14;2866.059601;401.2483442;0.14;2787.100651;390.1940912;0.14;1765.33176;247.1464464;0.14;1365.307761;191.1430866;0.14;2001.553509;280.2174913;0.14;1620.404129;226.8565781;0.14;1883.203715;263.6485202;0.14
Westhafenkanal;ROWvol, WWTP [m3/month];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
