HFPO-DA(GEN X);PFBA;PFBS;PFDA;PFHpA;PFHxA;PFHxS;PFNA;PFOA;PFOS;Sum PFAS-4
0.00216;0.092;0.17;0.0056;0.04655;0.16554;0.04012;0.1674;0.11;0.797;0.00415
0.002;0.068;0.17;0.0029;0.04261;0.067;0.02912;0.00465;0.089;0.226;0.01183
0.00075;0.061;0.13;0.00277;0.027;0.05606;0.02842;0.003881406;0.085;0.17;0.05412
0.00075;0.053;0.11071;0.00269;0.026;0.02612;0.02613;0.00245;0.05262;0.15;0.01744
0.00075;0.052;0.1;0.00261;0.022;0.02009;0.022;0.00234;0.0386;0.12;0.03238
0.00075;0.051;0.097;0.001708005;0.01588;0.01925;0.022;0.00223;0.032;0.061;0.01546
0.00075;0.045;0.088;0.00163;0.0082;0.01647;0.01853;0.00189;0.028;0.0587;0.2753
0.00075;0.042;0.079;0.00077;0.00651;0.016;0.01143;0.00178;0.025;0.0518;0.03347
0.00075;0.04014;0.047;0.00065;0.00573;0.01423;0.00763;0.00075;0.021;0.051;0.01579
0.00075;0.0344;0.04;0.00065;0.00546;0.013085873;0.00689;0.00075;0.021;0.05077;0.10192
0.00075;0.03;0.037;0.0006;0.005;0.013;0.005;0.00075;0.02;0.046;0.043989818
0.00028;0.026;0.03501;0.00055;0.005;0.012;0.005;0.00075;0.02;0.03336;0.05524
0.00027;0.0248;0.033;0.00055;0.005;0.01157;0.005;0.00075;0.02;0.031;0.04104
0.00021;0.0237;0.028;0.00055;0.005;0.01121;0.005;0.00075;0.017;0.031;0.04947
0.000085;0.0234;0.026;0.00055;0.005;0.01;0.005;0.0007;0.016;0.029856727;0.01156
0.000085;0.022;0.02385;0.00055;0.005;0.01;0.005;0.0007;0.015;0.0291;0.003305
0.000085;0.02;0.022;0.000135;0.005;0.01;0.005;0.0007;0.014;0.027;0.01772
0.000085;0.019;0.0212;0.000135;0.005;0.00938;0.005;0.0007;0.014;0.027;0.01728
0.000085;0.0177;0.02071;0.000135;0.005;0.00937;0.005;0.0007;0.01296;0.0236;
;0.017;0.018;;0.005;0.00872;0.005;;0.011;0.023;
;0.017;0.01671;;0.005;0.00744;0.005;;0.00839;0.023;
;0.015;0.01586;;0.005;0.0055;0.005;;0.00769;0.021;
;0.015;0.012903618;;0.005;0.005;0.005;;0.00742;0.02094;
;0.014;0.012;;0.005;0.005;0.005;;0.00691;0.019;
;0.013;0.012;;0.005;0.005;0.005;;0.005603976;0.018;
;0.013;0.00931;;0.005;0.005;0.005;;0.00545;0.01762;
;0.013;0.00819;;0.005;0.005;0.005;;0.005;0.017;
;0.01236;0.0074;;0.005;0.005;0.005;;0.005;0.015;
;0.012;0.00663;;0.005;0.005;0.005;;0.005;0.01424;
;0.011;0.00651;;0.005;0.005;0.005;;0.005;0.013;
;0.01;0.00564;;0.005;0.005;0.005;;0.005;0.011;
;0.00911;0.00538;;0.005;0.005;0.005;;0.005;0.011;
;0.008049049;0.005;;0.005;0.005;0.005;;0.005;0.011;
;0.00529;0.005;;0.005;0.005;0.005;;0.005;0.011;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.0108;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.01014;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.0101;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.00997;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.0095;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.0095;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.00934;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.0091;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.0085;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.0085;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.00833;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.00813;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.008;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.0078;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.0077;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.0075;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.00698;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.0069;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.0069;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.0069;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.0068;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.0066;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.0063;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.0059;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.00556;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.0052;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.0052;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.005;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.004597483;0.005;0.005;;0.005;0.005;
;0.005;0.005;;0.00413;0.005;0.00477;;0.005;0.005;
;0.005;0.005;;0.00336;0.005;0.004647709;;0.005;0.005;
;0.00454;0.005;;0.0032;0.005;0.00365;;0.005;0.005;
;0.00385;0.005;;0.00233;0.005;0.0027;;0.005;0.005;
;0.00367;0.005;;0.001775;0.005;0.0016;;0.005;0.005;
;0.00367;0.005;;0.001775;0.005;0.0016;;0.005;0.005;
;0.00367;0.005;;0.001775;0.005;0.0016;;0.005;0.005;
;0.00367;0.00379;;0.001775;0.005;0.0016;;0.00459;0.005;
;0.00367;0.00368;;0.001775;0.00224;0.0016;;0.0043;0.005;
;0.00308;0.0026;;0.00097;0.0019;0.00148;;0.00419;0.005;
;0.00105;0.00231;;0.00097;0.001675;0.00131;;0.00413;0.005;
;;0.00041;;;0.001675;0.00089;;0.00398;0.005;
;;0.00033;;;;0.00088;;0.0038;0.005;
;;;;;;;;0.00331;0.005;
;;;;;;;;0.00315;0.005;
;;;;;;;;0.00299;0.005;
;;;;;;;;0.0023;0.005;
;;;;;;;;0.0006;0.005;
;;;;;;;;0.000325;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.005;
;;;;;;;;;0.00494;
;;;;;;;;;0.00461;
;;;;;;;;;0.0044;
;;;;;;;;;0.0044;
;;;;;;;;;0.0043;
;;;;;;;;;0.0042;
;;;;;;;;;0.0039;
