HFPO-DA(GEN X);PFBA;PFBS;PFDA;PFHpA;PFHxA;PFHxS;PFNA;PFOA;PFOS;Sum PFAS-4
;0.01911;0.031;;0.006;0.035;0.007;;0.016;0.032;
;0.019;0.03;;0.006;0.034;0.007;;0.015;0.032;
;0.019;0.03;;0.006;0.034;0.007;;0.015;0.032;
;0.019;0.025;;0.006;0.033;0.007;;0.015;0.03013;
;0.019;0.022;;0.006;0.033;0.006;;0.014;0.03;
;0.019;0.022;;0.006;0.032;0.006;;0.014;0.03;
;0.018;0.02112;;0.006;0.032;0.006;;0.014;0.028;
;0.018;0.02;;0.006;0.03109;0.006;;0.014;0.028;
;0.018;0.019;;0.006;0.031;0.006;;0.014;0.027;
;0.018;0.019;;0.00521;0.03;0.006;;0.014;0.027;
;0.017;0.019;;0.005;0.02986;0.006;;0.014;0.0255;
;0.017;0.019;;0.005;0.029;0.006;;0.014;0.024;
;0.016;0.018;;0.005;0.029;0.006;;0.014;0.0232;
;0.016;0.018;;0.005;0.028;0.006;;0.014;0.023;
;0.016;0.018;;0.005;0.028;0.006;;0.014;0.023;
;0.016;0.0174;;0.005;0.02638;0.006;;0.014;0.02238;
;0.016;0.017;;0.005;0.026;0.006;;0.014;0.022;
;0.016;0.017;;0.005;0.026;0.006;;0.014;0.022;
;0.016;0.017;;0.005;0.025;0.006;;0.014;0.022;
;0.01551;0.017;;0.005;0.025;0.006;;0.014;0.022;
;0.015;0.016;;0.005;0.024;0.006;;0.0132;0.0219;
;0.015;0.016;;0.005;0.024;0.006;;0.013;0.0217;
;0.015;0.015;;0.005;0.024;0.006;;0.013;0.021;
;0.015;0.015;;0.005;0.024;0.006;;0.013;0.021;
;0.015;0.015;;0.005;0.024;0.006;;0.013;0.02;
;0.015;0.015;;0.005;0.023;0.00523;;0.013;0.02;
;0.014;0.015;;0.005;0.023;0.005;;0.013;0.02;
;0.014;0.015;;0.005;0.023;0.005;;0.013;0.02;
;0.014;0.015;;0.005;0.023;0.005;;0.013;0.019;
;0.014;0.015;;0.005;0.023;0.005;;0.013;0.019;
;0.014;0.015;;0.005;0.022;0.005;;0.013;0.018;
;0.014;0.0143;;0.005;0.022;0.005;;0.013;0.018;
;0.014;0.01411;;0.005;0.022;0.005;;0.013;0.018;
;0.014;0.014;;0.0044;0.021;0.005;;0.013;0.018;
;0.0135;0.014;;0.00435;0.021;0.005;;0.012;0.017989252;
;0.013;0.014;;0.00431;0.0201;0.005;;0.012;0.0175;
;0.013;0.014;;0.00415;0.02001;0.005;;0.012;0.0175;
;0.013;0.014;;0.00401;0.02;0.005;;0.012;0.017;
;0.013;0.014;;0.004;0.02;0.005;;0.012;0.017;
;0.013;0.014;;0.004;0.02;0.005;;0.012;0.0169;
;0.013;0.014;;0.004;0.02;0.005;;0.012;0.0166;
;0.013;0.013;;0.004;0.02;0.005;;0.012;0.0162;
;0.013;0.013;;0.004;0.02;0.005;;0.012;0.016;
;0.013;0.013;;0.004;0.019;0.005;;0.012;0.016;
;0.013;0.013;;0.004;0.019;0.005;;0.012;0.0159;
;0.013;0.013;;0.004;0.019;0.005;;0.012;0.015;
;0.013;0.013;;0.004;0.019;0.005;;0.012;0.015;
;0.013;0.013;;0.004;0.018;0.00469;;0.012;0.015;
;0.013;0.013;;0.004;0.018;0.00426;;0.012;0.015;
;0.013;0.013;;0.004;0.018;0.004;;0.012;0.015;
;0.013;0.013;;0.004;0.018;0.004;;0.012;0.015;
;0.013;0.013;;0.004;0.018;0.004;;0.012;0.015;
;0.013;0.013;;0.004;0.018;0.004;;0.012;0.015;
;0.012;0.013;;0.004;0.018;0.004;;0.012;0.015;
;0.012;0.013;;0.004;0.017;0.004;;0.012;0.015;
;0.012;0.013;;0.004;0.017;0.004;;0.012;0.015;
;0.012;0.013;;0.004;0.017;0.004;;0.011;0.0149;
;0.012;0.012;;0.004;0.017;0.004;;0.011;0.0145;
;0.012;0.012;;0.004;0.017;0.004;;0.011;0.014;
;0.012;0.012;;0.004;0.017;0.004;;0.011;0.014;
;0.012;0.012;;0.004;0.017;0.004;;0.011;0.014;
;0.012;0.012;;0.004;0.017;0.004;;0.011;0.014;
;0.012;0.012;;0.004;0.017;0.004;;0.011;0.014;
;0.012;0.012;;0.004;0.016;0.004;;0.011;0.014;
;0.012;0.012;;0.004;0.016;0.004;;0.011;0.014;
;0.012;0.012;;0.004;0.016;0.004;;0.011;0.01364;
;0.012;0.012;;0.004;0.016;0.004;;0.011;0.013;
;0.012;0.012;;0.004;0.016;0.004;;0.011;0.013;
;0.01146;0.012;;0.004;0.016;0.004;;0.011;0.013;
;0.011;0.012;;0.004;0.016;0.004;;0.011;0.013;
;0.011;0.012;;0.004;0.016;0.004;;0.011;0.013;
;0.011;0.012;;0.004;0.016;0.004;;0.011;0.013;
;0.011;0.011;;0.004;0.016;0.004;;0.011;0.013;
;0.011;0.011;;0.004;0.016;0.004;;0.011;0.013;
;0.011;0.011;;0.004;0.016;0.004;;0.011;0.0129;
;0.011;0.011;;0.004;0.01515;0.004;;0.011;0.01269;
;0.011;0.011;;0.004;0.015;0.004;;0.011;0.012;
;0.011;0.011;;0.004;0.015;0.003;;0.011;0.012;
;0.011;0.011;;0.004;0.015;0.003;;0.011;0.012;
;0.011;0.011;;0.004;0.015;0.003;;0.011;0.012;
;0.011;0.011;;0.004;0.015;0.003;;0.011;0.012;
;0.011;0.011;;0.004;0.015;0.003;;0.011;0.012;
;0.011;0.011;;0.004;0.015;0.003;;0.011;0.012;
;0.011;0.011;;0.004;0.015;0.003;;0.011;0.012;
;0.011;0.011;;0.004;0.015;0.003;;0.011;0.012;
;0.011;0.011;;0.004;0.015;0.003;;0.0102;0.012;
;0.0107;0.011;;0.004;0.015;0.003;;0.01;0.012;
;0.01;0.011;;0.004;0.015;0.003;;0.01;0.012;
;0.01;0.011;;0.004;0.015;0.003;;0.01;0.012;
;0.01;0.011;;0.004;0.015;0.003;;0.01;0.012;
;0.01;0.01079;;0.004;0.015;0.003;;0.01;0.01163;
;0.01;0.01;;0.004;0.015;0.003;;0.01;0.0112;
;0.01;0.01;;0.004;0.01457;0.003;;0.01;0.011;
;0.01;0.01;;0.004;0.01409;0.003;;0.01;0.011;
;0.01;0.01;;0.004;0.014;0.003;;0.01;0.011;
;0.01;0.01;;0.004;0.014;0.003;;0.01;0.011;
;0.01;0.01;;0.004;0.014;0.003;;0.01;0.011;
;0.01;0.01;;0.004;0.014;0.003;;0.01;0.011;
;0.01;0.01;;0.00387;0.014;0.003;;0.01;0.011;
;0.01;0.01;;0.00349;0.014;0.003;;0.01;0.011;
;0.01;0.01;;0.003;0.014;0.003;;0.01;0.011;
;0.01;0.01;;0.003;0.014;0.003;;0.01;0.011;
;0.01;0.01;;0.003;0.014;0.003;;0.01;0.011;
;0.01;0.01;;0.003;0.013;0.003;;0.01;0.01075;
;0.01;0.01;;0.003;0.013;0.003;;0.01;0.0107;
;0.01;0.01;;0.003;0.013;0.003;;0.01;0.0107;
;0.01;0.01;;0.003;0.013;0.003;;0.01;0.0102;
;0.01;0.01;;0.003;0.013;0.003;;0.01;0.01011;
;0.01;0.01;;0.003;0.013;0.003;;0.01;0.01;
;0.00993;0.01;;0.003;0.013;0.0029;;0.01;0.01;
;0.009;0.01;;0.003;0.013;0.00281;;0.01;0.01;
;0.009;0.01;;0.003;0.013;0.00271;;0.01;0.01;
;0.009;0.01;;0.003;0.013;0.0027;;0.01;0.01;
;0.009;0.01;;0.003;0.013;0.0024502;;0.01;0.01;
;0.009;0.01;;0.003;0.013;0.00238;;0.01;0.01;
;0.009;0.01;;0.003;0.013;0.00217;;0.01;0.01;
;0.009;0.01;;0.003;0.013;0.002;;0.01;0.01;
;0.009;0.01;;0.003;0.013;0.002;;0.01;0.0099;
;0.009;0.009;;0.003;0.013;0.002;;0.01;0.0099;
;0.009;0.009;;0.003;0.013;0.002;;0.01;0.0095;
;0.009;0.009;;0.003;0.013;0.002;;0.01;0.0094;
;0.009;0.009;;0.003;0.013;0.002;;0.01;0.0094;
;0.009;0.009;;0.003;0.013;0.002;;0.01;0.009;
;0.009;0.009;;0.003;0.013;0.002;;0.01;0.009;
;0.009;0.009;;0.003;0.013;0.002;;0.01;0.009;
;0.009;0.009;;0.003;0.01233;0.002;;0.01;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.01;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.01;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.00969;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.0096;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.0089;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.0088;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.0087;
;0.009;0.00894;;0.003;0.012;0.002;;0.009;0.0086;
;0.009;0.008;;0.003;0.012;0.002;;0.009;0.0086;
;0.009;0.008;;0.003;0.012;0.002;;0.009;0.0085;
;0.009;0.008;;0.003;0.012;0.002;;0.009;0.0085;
;0.009;0.008;;0.003;0.012;0.002;;0.009;0.0083;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.0083;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.00798;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.007;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.007;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.007;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.007;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.007;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.007;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.007;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.007;;0.003;0.011;0.002;;0.00804;0.0078;
;0.008;0.007;;0.003;0.011;0.002;;0.008;0.0077;
;0.008;0.007;;0.003;0.011;0.002;;0.008;0.0075;
;0.008;0.007;;0.003;0.011;0.002;;0.008;0.0075;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.0072;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.00275;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.002618528;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.002;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.002;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.002;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.002;0.01;0.002;;0.008;0.007;
;0.008;0.00651185;;0.002;0.01;0.002;;0.008;0.007;
;0.008;0.0065;;0.002;0.01;0.002;;0.008;0.007;
;0.008;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.008;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.008;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.0069;
;0.007;0.006;;0.002;0.00976;0.002;;0.008;0.0069;
;0.007;0.006;;0.002;0.00974;0.002;;0.008;0.0067;
;0.007;0.006;;0.002;0.00919;0.002;;0.008;0.0067;
;0.007;0.006;;0.002;0.009;0.002;;0.008;0.0064;
;0.007;0.006;;0.002;0.009;0.00199;;0.008;0.0063;
;0.007;0.006;;0.002;0.009;0.00189;;0.008;0.0062;
;0.007;0.006;;0.002;0.009;0.00161;;0.008;0.0062;
;0.007;0.006;;0.002;0.009;0.0016;;0.008;0.00615;
;0.007;0.006;;0.002;0.009;0.00122;;0.008;0.0061;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.00597;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.00575;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.0079;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.00778;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.0074;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.0073;0.006;
;0.007;0.005;;0.002;0.008;0.001;;0.0073;0.006;
;0.00648;0.005;;0.002;0.008;0.001;;0.0073;0.006;
;0.006188132;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.00055;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.00055;;0.007;0.00596;
;0.006;0.005;;0.002;0.008;0.00055;;0.007;0.0059;
;0.006;0.005;;0.002;0.008;0.00055;;0.007;0.00588;
;0.006;0.005;;0.002;0.008;0.00055;;0.007;0.0057;
;0.006;0.005;;0.002;0.008;0.00055;;0.007;0.00569;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.0056;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.0055;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.00543;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.0054;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.0053;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.0053;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.0052;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.0052;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.00514;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.0051;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.0051;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.00484;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.007893911;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.00717;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.00543;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.00524;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
;0.005;0.004;;0.002;0.007;0.0005;;0.007;0.005;
