SUW;Parameter;January mean;January sd;January rel sd;February mean;February sd;February rel sd;March mean;March sd;March rel sd;April mean;April sd;April rel sd;May mean;May sd;May rel sd;June mean;June sd;June rel sd;July mean;July sd;July rel sd;August mean;August sd;August rel sd;September mean;September sd;September rel sd;October mean;October sd;October rel sd;November mean;November sd;November rel sd;December mean;December sd;December rel sd
Berlin-Spandauer-Schifffahrtskanal;ROWvol, Seperate sewer system [m3/month];93300.81494;24656.87715;0.264272902;65819.66425;17394.3537;0.264272902;73060.80393;19307.9907;0.264272902;52740.70368;13937.93883;0.264272902;65869.78938;17407.60041;0.264272902;137566.3019;36355.04585;0.264272902;133776.3978;35353.47692;0.264272902;84733.11638;22392.66659;0.264272902;65532.60076;17318.4906;0.264272902;96071.38459;25389.06363;0.264272902;77776.82064;20554.30612;0.264272902;90390.78274;23887.8345;0.264272902
Berlin-Spandauer-Schifffahrtskanal;ROWvol, CSO [m3/month];73672.60066;10314.16409;0.14;51972.81335;7276.193869;0.14;57690.59397;8076.683156;0.14;41645.34686;5830.34856;0.14;52012.39338;7281.735073;0.14;108625.7095;15207.59933;0.14;105633.1088;14788.63523;0.14;66907.33677;9367.027148;0.14;51746.141;7244.459741;0.14;75860.31008;10620.44341;0.14;61414.47587;8598.026622;0.14;71374.76821;9992.46755;0.14
Berlin-Spandauer-Schifffahrtskanal;ROWvol, WWTP [m3/month];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Britzer Verbindungskanal;ROWvol, Seperate sewer system [m3/month];33835.11598;8880.91281;0.262476204;23869.20173;6265.097468;0.262476204;26495.16808;6954.351148;0.262476204;19126.17619;5020.166128;0.262476204;23887.37938;6269.868669;0.262476204;49887.79338;13094.35864;0.262476204;48513.40193;12733.61359;0.262476204;30728.07908;8065.38956;0.262476204;23765.09946;6237.773099;0.262476204;34839.85045;9144.631702;0.262476204;28205.41008;7403.248977;0.262476204;32779.80604;8603.919065;0.262476204
Britzer Verbindungskanal;ROWvol, CSO [m3/month];;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;
Britzer Verbindungskanal;ROWvol, WWTP [m3/month];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charlottenburger Verbindungskanal;ROWvol, Seperate sewer system [m3/month];874.5005899;237.0437773;0.271061884;616.9221056;167.2240681;0.271061884;684.7926909;185.6211968;0.271061884;494.3341224;133.9951384;0.271061884;617.3919243;167.351418;0.271061884;1289.397228;349.5064415;0.271061884;1253.87478;339.87766;0.271061884;794.1962812;215.2763401;0.271061884;614.231484;166.4947431;0.271061884;900.4689032;244.0827972;0.271061884;728.9955138;197.6028973;0.271061884;847.225106;229.6504332;0.271061884
Charlottenburger Verbindungskanal;ROWvol, CSO [m3/month];1358.781584;190.2294218;0.14;958.5612701;134.1985778;0.14;1064.017233;148.9624126;0.14;768.0865054;107.5321108;0.14;959.2912649;134.3007771;0.14;2003.43971;280.4815593;0.14;1948.245639;272.7543894;0.14;1234.00635;172.760889;0.14;954.3806358;133.613289;0.14;1399.130632;195.8782885;0.14;1132.698698;158.5778177;0.14;1316.401481;184.2962074;0.14
Charlottenburger Verbindungskanal;ROWvol, WWTP [m3/month];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dahme;ROWvol, Seperate sewer system [m3/month];61451.56707;16232.30902;0.264148008;43351.40604;11451.18754;0.264148008;48120.70393;12710.98808;0.264148008;34737.09089;9175.733356;0.264148008;43384.42041;11459.90822;0.264148008;90606.54861;23933.53931;0.264148008;88110.36956;23274.17858;0.264148008;55808.54559;14741.71613;0.264148008;43162.33479;11401.24475;0.264148008;63276.37264;16714.32777;0.264148008;51226.85705;13531.47224;0.264148008;59534.90601;15726.02682;0.264148008
